,layer,neuron,class_selectivity_idx,population_code,class_id,class_freq,first_wordnet_level,last_common_level,deep_level,included_categories
0,block1_conv1,0,0.212,0,,0.0,,,0,0
1,block1_conv1,1,0.242,0,,0.0,,,0,0
2,block1_conv1,2,0.283,0,,0.0,,,0,0
3,block1_conv1,3,0.253,1,"web site, website, internet site, site",0.13004,"artifact, artefact","web site, website, internet site, site",6,1
4,block1_conv1,4,0.202,0,,0.0,,,0,0
5,block1_conv1,5,0.273,0,,0.0,,,0,0
6,block1_conv1,6,0.253,0,,0.0,,,0,0
7,block1_conv1,7,0.232,0,,0.0,,,0,0
8,block1_conv1,8,0.374,0,,0.0,,,0,0
9,block1_conv1,9,0.242,0,,0.0,,,0,0
10,block1_conv1,10,0.273,1,"web site, website, internet site, site",0.11,"artifact, artefact","web site, website, internet site, site",6,1
11,block1_conv1,11,0.192,0,,0.0,,,0,0
12,block1_conv1,12,0.283,0,,0.0,,,0,0
13,block1_conv1,13,0.273,0,,0.0,,,0,0
14,block1_conv1,14,0.242,0,,0.0,,,0,0
15,block1_conv1,15,0.364,0,,0.0,,,0,0
16,block1_conv1,16,0.091,0,,0.0,,,0,0
17,block1_conv1,17,0.212,0,,0.0,,,0,0
18,block1_conv1,18,0.364,0,,0.0,,,0,0
19,block1_conv1,19,0.172,0,,0.0,,,0,0
20,block1_conv1,20,0.222,1,"long-horned beetle, longicorn, longicorn beetle",0.1099,"animal, animate being, beast, brute, creature, fauna","long-horned beetle, longicorn, longicorn beetle",6,1
21,block1_conv1,21,0.222,1,"long-horned beetle, longicorn, longicorn beetle",0.11,"animal, animate being, beast, brute, creature, fauna","long-horned beetle, longicorn, longicorn beetle",6,1
22,block1_conv1,22,0.263,0,,0.0,,,0,0
23,block1_conv1,23,0.222,0,,0.0,,,0,0
24,block1_conv1,24,0.253,0,,0.0,,,0,0
25,block1_conv1,25,0.263,0,,0.0,,,0,0
26,block1_conv1,26,0.303,0,,0.0,,,0,0
27,block1_conv1,27,0.222,0,,0.0,,,0,0
28,block1_conv1,28,0.566,1,vine snake,0.12,"animal, animate being, beast, brute, creature, fauna",vine snake,8,1
29,block1_conv1,29,0.141,0,,0.0,,,0,0
30,block1_conv1,30,0.182,0,,0.0,,,0,0
31,block1_conv1,31,0.101,0,,0.0,,,0,0
32,block1_conv1,32,0.152,0,,0.0,,,0,0
33,block1_conv1,33,0.222,0,,0.0,,,0,0
34,block1_conv1,34,0.212,0,,0.0,,,0,0
35,block1_conv1,35,0.232,1,"web site, website, internet site, site",0.10999,"artifact, artefact","web site, website, internet site, site",6,1
36,block1_conv1,36,0.253,0,,0.0,,,0,0
37,block1_conv1,37,0.242,0,,0.0,,,0,0
38,block1_conv1,38,0.232,1,"web site, website, internet site, site",0.1097,"artifact, artefact","web site, website, internet site, site",6,1
39,block1_conv1,39,0.273,0,,0.0,,,0,0
40,block1_conv1,40,0.303,1,digital clock,0.1002,"artifact, artefact",digital clock,8,1
41,block1_conv1,41,0.253,1,"web site, website, internet site, site",0.1,"artifact, artefact","web site, website, internet site, site",6,1
42,block1_conv1,42,0.202,0,,0.0,,,0,0
43,block1_conv1,43,0.253,1,"web site, website, internet site, site",0.11,"artifact, artefact","web site, website, internet site, site",6,1
44,block1_conv1,44,0.232,1,"web site, website, internet site, site",0.10001,"artifact, artefact","web site, website, internet site, site",6,1
45,block1_conv1,45,0.232,0,,0.0,,,0,0
46,block1_conv1,46,0.182,0,,0.0,,,0,0
47,block1_conv1,47,0.263,1,"web site, website, internet site, site",0.10004,"artifact, artefact","web site, website, internet site, site",6,1
48,block1_conv1,48,0.222,0,,0.0,,,0,0
49,block1_conv1,49,0.212,0,,0.0,,,0,0
