,label,frequency,level,is_leaf,leafs_contained
0,root,1.0,0,False,1000
1,"animal, animate being, beast, brute, creature, fauna",0.39834455104808625,1,False,398
2,"artifact, artefact",0.520918351015452,1,False,522
3,Misc,0.04216929081297659,1,False,42
4,natural object,0.016239076683574556,1,False,16
5,"geological formation, formation",0.0101494229272341,1,False,10
6,"person, individual, someone, somebody, mortal, soul",0.0030448268781702306,1,False,3
7,fungus,0.007104596049063871,1,False,7
8,"plant, flora, plant life",0.0020298845854468204,1,False,2
9,invertebrate,0.061911479856128084,2,False,61
10,chordate,0.2088579478959861,2,False,207
11,"domestic animal, domesticated animal",0.12047052724690638,2,False,123
12,game,0.007104596049063871,2,False,7
13,"structure, construction",0.05707098584467795,2,False,57
14,"instrumentality, instrumentation",0.3571410168628776,2,False,358
15,"decoration, ornament, ornamentation",0.0010149422927234102,2,False,1
16,covering,0.08481872740289535,2,False,85
17,"fabric, cloth, material, textile",0.006918783537011431,2,False,7
18,"commodity, trade good, good",0.010909068197095546,2,False,11
19,"padding, cushioning",0.0010149422927234102,2,False,1
20,"plaything, toy",0.0010149422927234102,2,False,1
21,surface,0.0010149422927234102,2,False,1
22,"food, nutrient",0.025099522899049924,2,False,25
23,cauliflower,0.0010149422927234102,2,True,1
24,butternut squash,0.0010149422927234102,2,True,1
25,mushroom,0.0010149422927234102,2,True,1
26,mashed potato,0.0010149422927234102,2,True,1
27,head cabbage,0.0010149422927234102,2,True,1
28,spaghetti squash,0.0009673180774494657,2,True,1
29,"zucchini, courgette",0.0010149422927234102,2,True,1
30,"artichoke, globe artichoke",0.0010149422927234102,2,True,1
31,acorn squash,0.0010149422927234102,2,True,1
32,round shape,0.0010149422927234102,2,False,1
33,bell pepper,0.0010149422927234102,2,True,1
34,"traffic light, traffic signal, stoplight",0.0010149422927234102,2,True,1
35,"cucumber, cuke",0.0010149422927234102,2,True,1
36,broccoli,0.0010149422927234102,2,True,1
37,cardoon,0.0008783154456260281,2,True,1
38,paper,0.0010149422927234102,2,False,1
39,sign,0.0010149422927234102,2,False,1
40,"plant part, plant structure",0.016239076683574556,2,False,16
41,"natural elevation, elevation",0.005074711463617051,2,False,5
42,shore,0.0020298845854468204,2,False,2
43,"natural depression, depression",0.0010149422927234102,2,False,1
44,"cliff, drop, drop-off",0.0010149422927234102,2,True,1
45,"spring, fountain, outflow, outpouring, natural spring",0.0010149422927234102,2,False,1
46,contestant,0.0010149422927234102,2,False,1
47,"explorer, adventurer",0.0010149422927234102,2,False,1
48,"peer, equal, match, compeer",0.0010149422927234102,2,False,1
49,earthstar,0.0010149422927234102,2,True,1
50,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.0010149422927234102,2,True,1
51,"basidiomycete, basidiomycetous fungi",0.0010149422927234102,2,False,1
52,gyromitra,0.0010149422927234102,2,True,1
53,coral fungus,0.0010149422927234102,2,True,1
54,bolete,0.0010149422927234102,2,True,1
55,"stinkhorn, carrion fungus",0.0010149422927234102,2,True,1
56,"vascular plant, tracheophyte",0.0020298845854468204,2,False,2
57,arthropod,0.047702287758000304,3,False,47
58,"mollusk, mollusc, shellfish",0.006089653756340461,3,False,6
59,"coelenterate, cnidarian",0.0030448268781702306,3,False,3
60,echinoderm,0.0030448268781702306,3,False,3
61,worm,0.0020298845854468204,3,False,2
62,"vertebrate, craniate",0.2088579478959861,3,False,207
63,"dog, domestic dog, Canis familiaris",0.11539581578328936,3,False,118
64,"domestic cat, house cat, Felis domesticus, Felis catus",0.005074711463617051,3,False,5
65,game bird,0.007104596049063871,3,False,7
66,establishment,0.010110386685206278,3,False,10
67,"building, edifice",0.014072565251030358,3,False,14
68,"obstruction, obstructor, obstructer, impediment, impedimenta",0.0101494229272341,3,False,10
69,"signboard, sign",0.0010149422927234102,3,False,1
70,"bridge, span",0.0029300603266084295,3,False,3
71,"landing, landing place",0.0009454577819138845,3,False,1
72,"column, pillar",0.0020298845854468204,3,False,2
73,tower,0.0010149422927234102,3,False,1
74,"housing, lodging, living accommodations",0.0020298845854468204,3,False,2
75,supporting structure,0.002739563465512651,3,False,3
76,"memorial, monument",0.0020298845854468204,3,False,2
77,shelter,0.0010149422927234102,3,False,1
78,arch,0.0010149422927234102,3,False,1
79,fountain,0.0010149422927234102,3,True,1
80,"coil, spiral, volute, whorl, helix",0.0010149422927234102,3,True,1
81,altar,0.0010149422927234102,3,True,1
82,area,0.0008993950163210528,3,False,1
83,"building complex, complex",0.0010149422927234102,3,False,1
84,"defensive structure, defense, defence",0.0010149422927234102,3,False,1
85,furnishing,0.024077554082761507,3,False,24
86,container,0.09713075813847083,3,False,97
87,"conveyance, transport",0.026173019554815068,3,False,26
88,device,0.12940280014771297,3,False,130
89,implement,0.03434252428639796,3,False,35
90,equipment,0.03530125439060131,3,False,35
91,"toiletry, toilet articles",0.005638394798498822,3,False,6
92,system,0.0030448268781702306,3,False,3
93,"connection, connexion, connector, connecter, connective",0.0010149422927234102,3,False,1
